sample-id	Fraction	Genotype	Soil	Experiment	lowgermination	replant	Depth
GC60GC2_806rcbc177	EC	pho2	MF21	GC2			74950
GC47GC2_806rcbc384	EC	nla	MF21	GC2			52599
GC104GC1_806rcbc102	Soil	Soil	MF21	GC1	104.0		70752
GC27GC2_806rcbc339	EC	pht1:1/pht1:4	MF21	GC2			58806
GC74GC2_806rcbc305	EC	phr1	MF21	GC2			94428
GC4GC2_806rcbc354	EC	Col	MF21	GC2			90516
GC105GC1_806rcbc114	Soil	Soil	MF21	GC1	105.0		289075
syncomP20_160125	Root	phf1		A			3183
syncomP20_160126	Root	phf1		A			3183
GC66GC2_806rcbc424							
GC98GC1_806rcbc117	EC	SPX1/SPX2	MF21	GC1			24078
GC76GC1_806rcbc304							
GC49GC1_806rcbc140	EC	nla	MF21	GC1			51614
syncomP13_160126	Root	phf1		A			9962
syncomP13_160125	Root	phf1		A			9962
GC46GC2_806rcbc349	EC	nla	MF21	GC2			41346
GC36GC1_806rcbc152	EC	phf1	MF21	GC1			9463
GC7GC2_806rcbc441	EC	Col	MF21	GC2			49664
GC21GC1_806rcbc164	EC	pht1:1/pht1:4	MF21	GC1			33670
GC74GC2_806rcbc113	EC	phr1	MF21	GC2			94428
syncomP82_160126	Agar	Agar		B			13540
syncomP82_160125	Agar	Agar		B			13540
GC67GC2_806rcbc102							
GC47GC2_806rcbc288	EC	nla	MF21	GC2			52599
GC88GC1_806rcbc135	EC	phr1	MF21	GC1			2437
syncomP42_160126	Root	phr1/phl1		B			14201
syncomP42_160125	Root	phr1/phl1		B			14201
syncomP90_160125	Inoculum	Inoculum		B			140782
syncomP90_160126	Inoculum	Inoculum		B			140782
GC58GC2_806rcbc412	EC	pho2	MF21	GC2			58325
GC7GC1_806rcbc124	EC	Col	MF21	GC1	7.0	2014-02-03	81114
syncomP50_160125	Agar	Agar		A			105496
syncomP50_160126	Agar	Agar		A			105496
GC100GC2_806rcbc111	Soil	Soil	MF21	GC2			235679
GC31GC1_806rcbc159	EC	phf1	MF21	GC1			108304
GC65GC2_806rcbc340							
GC93GC2_806rcbc329	Soil	Soil	MF21	GC2			124890
GC12GC1_806rcbc382	EC	pht1:1	MF21	GC1	12.0		4210
GC87GC2_806rcbc320	EC	SPX1/SPX2	MF21	GC2			88292
GC52GC2_806rcbc417	EC	pho2	MF21	GC2			94083
GC30GC2_806rcbc439	EC	pht1:1/pht1:4	MF21	GC2			69108
GC40GC1_806rcbc456							
GC77GC2_806rcbc186	EC	phr1	MF21	GC2			73471
GC19GC1_806rcbc187	EC	pht1:1	MF21	GC1			4034
GC22GC2_806rcbc318	EC	pht1:1/pht1:4	MF21	GC2			108820
GC11GC2_806rcbc396	EC	pht1:1	MF21	GC2			83658
GC37GC2_806rcbc308	EC	phf1	MF21	GC2			63723
syncomP32_160126	Root	Col-0		B			51502
syncomP32_160125	Root	Col-0		B			51502
GC80GC2_806rcbc411	EC	phr1	MF21	GC2			81073
GC64GC2_806rcbc143							
GC19GC2_806rcbc444	EC	pht1:1	MF21	GC2			55469
GC109GC1_806rcbc377	Soil	Soil	MF21	GC1	109.0		321658
GC3GC1_806rcbc319	EC	Col	MF21	GC1	3.0	2014-02-03	39390
GC16GC2_806rcbc140	EC	pht1:1	MF21	GC2			94919
GC42GC1_806rcbc122	EC	nla	MF21	GC1			39245
GC9GC2_806rcbc98	EC	Col	MF21	GC2			82889
GC34GC2_806rcbc334	EC	phf1	MF21	GC2			81899
syncomP63_160126	Agar	Agar		A			103627
syncomP63_160125	Agar	Agar		A			103627
syncomP7_160126	Root	phr1/phl1		A			22709
syncomP7_160125	Root	phr1/phl1		A			22709
syncomP24_160125	Root	Col-0		B			37537
syncomP24_160126	Root	Col-0		B			37537
GC53GC2_806rcbc297	EC	pho2	MF21	GC2			71706
GC35GC1_806rcbc303	EC	phf1	MF21	GC1			26633
GC58GC2_806rcbc124	EC	pho2	MF21	GC2			58325
GC27GC1_806rcbc308	EC	pht1:1/pht1:4	MF21	GC1			52019
GC26GC1_806rcbc311	EC	pht1:1/pht1:4	MF21	GC1			10855
GC72GC2_806rcbc437	EC	phr1	MF21	GC2			59567
GC96GC2_806rcbc311	Soil	Soil	MF21	GC2			176462
GC90GC1_806rcbc121	EC	phr1	MF21	GC1			21513
GC84GC1_806rcbc128	EC	phr1	MF21	GC1			38107
GC62GC1_806rcbc163							
GC85GC1_806rcbc346	EC	phr1	MF21	GC1			37699
syncomP75_160125	Agar	Agar		A			93802
syncomP75_160126	Agar	Agar		A			93802
GC41GC2_806rcbc130	EC	nla	MF21	GC2			85567
GC78GC2_806rcbc379	EC	phr1	MF21	GC2			28990
GC1GC2_806rcbc169	EC	Col	MF21	GC2			52708
GC61GC2_806rcbc426							
GC13GC1_806rcbc153	EC	pht1:1	MF21	GC1	13.0		1047
syncomP78_160125	Agar	Agar		A			104160
syncomP78_160126	Agar	Agar		A			104160
GC100GC1_806rcbc189	EC	SPX1/SPX2	MF21	GC1			17335
syncomP46_160126	Agar	Agar		B			9094
syncomP46_160125	Agar	Agar		B			9094
GC16GC2_806rcbc332	EC	pht1:1	MF21	GC2			94919
GC28GC2_806rcbc163	EC	pht1:1/pht1:4	MF21	GC2			53875
GC56GC2_806rcbc167	EC	pho2	MF21	GC2			49955
syncomP86_160126	Inoculum	Inoculum		A			131460
syncomP86_160125	Inoculum	Inoculum		A			131460
GC28GC1_806rcbc129	EC	pht1:1/pht1:4	MF21	GC1			105169
GC45GC2_806rcbc446	EC	nla	MF21	GC2			71483
syncomP29_160125	Root	phr1/phl1		B			52303
syncomP29_160126	Root	phr1/phl1		B			52303
syncomP17_160126	Root	phr1/phl1		A			72882
syncomP17_160125	Root	phr1/phl1		A			72882
GC13GC1_806rcbc345	EC	pht1:1	MF21	GC1	13.0		1047
GC79GC2_806rcbc179	EC	phr1	MF21	GC2			23812
GC5GC2_806rcbc99	EC	Col	MF21	GC2			89372
GC12GC2_806rcbc319	EC	pht1:1	MF21	GC2			73797
GC13GC2_806rcbc174	EC	pht1:1	MF21	GC2			76911
GC8GC2_806rcbc131	EC	Col	MF21	GC2			88558
GC69GC2_806rcbc144							
GC29GC1_806rcbc120	EC	pht1:1/pht1:4	MF21	GC1			91436
GC26GC2_806rcbc326	EC	pht1:1/pht1:4	MF21	GC2			110946
GC4GC1_806rcbc160	EC	Col	MF21	GC1			27781
GC34GC1_806rcbc364	EC	phf1	MF21	GC1			29634
GC77GC2_806rcbc474	EC	phr1	MF21	GC2			73471
GC27GC2_806rcbc147	EC	pht1:1/pht1:4	MF21	GC2			58806
GC3GC2_806rcbc132	EC	Col	MF21	GC2			110458
GC58GC1_806rcbc367	EC	pho2	MF21	GC1			23796
GC14GC2_806rcbc307	EC	pht1:1	MF21	GC2			56504
GC97GC1_806rcbc333	EC	SPX1/SPX2	MF21	GC1			198505
syncomP54_160125	Agar	Agar		B			115942
syncomP54_160126	Agar	Agar		B			115942
GC83GC2_806rcbc104	EC	SPX1/SPX2	MF21	GC2			91621
GC64GC1_806rcbc110							
syncomP94_160125				Blank			44239
syncomP94_160126				Blank			44239
GC108GC1_806rcbc103							
GC18GC2_806rcbc447	EC	pht1:1	MF21	GC2			81106
GC88GC2_806rcbc427	EC	SPX1/SPX2	MF21	GC2			74845
syncomP67_160126	Agar	Agar		B			60073
syncomP67_160125	Agar	Agar		B			60073
syncomP3_160126	Root	Col-0		A			59848
syncomP3_160125	Root	Col-0		A			59848
syncomP59_160125	Agar	Agar		B			105836
syncomP59_160126	Agar	Agar		B			105836
GC34GC1_806rcbc172	EC	phf1	MF21	GC1			29634
GC59GC2_806rcbc356	EC	pho2	MF21	GC2			67160
GC3GC2_806rcbc324	EC	Col	MF21	GC2			110458
GC76GC2_806rcbc185	EC	phr1	MF21	GC2			85698
GC15GC2_806rcbc438	EC	pht1:1	MF21	GC2			72656
GC1GC1_806rcbc290	Root	phr1/phl1		A			34548
GC43GC2_806rcbc106	EC	nla	MF21	GC2			93608
GC40GC2_806rcbc406	EC	phf1	MF21	GC2			33993
GC49GC1_806rcbc332	EC	nla	MF21	GC1			51614
GC10GC2_806rcbc409	EC	Col	MF21	GC2			90835
GC57GC2_806rcbc433	EC	pho2	MF21	GC2			72532
syncomP36_160126	Root	phf1		B			11116
syncomP36_160125	Root	phf1		B			11116
GC63GC2_806rcbc357							
GC74GC1_806rcbc392							
syncomP66_160126	Agar	Agar		A			106590
syncomP66_160125	Agar	Agar		A			106590
GC105GC1_806rcbc402	Soil	Soil	MF21	GC1	105.0		289075
syncomP58_160125	Agar	Agar		B			121345
syncomP58_160126	Agar	Agar		B			121345
syncomP2_160126	Root	Col-0		A			60730
syncomP2_160125	Root	Col-0		A			60730
GC29GC2_806rcbc97	EC	pht1:1/pht1:4	MF21	GC2			88181
GC84GC2_806rcbc347	EC	SPX1/SPX2	MF21	GC2			107560
GC30GC2_806rcbc151	EC	pht1:1/pht1:4	MF21	GC2			69108
GC75GC2_806rcbc472	EC	phr1	MF21	GC2			66906
GC102GC1_806rcbc126	Soil	Soil	MF21	GC1	102.0		305957
syncomP37_160126	Root	phr1/phl1		B			19480
syncomP37_160125	Root	phr1/phl1		B			19480
GC52GC1_806rcbc299							
GC44GC1_806rcbc115	EC	nla	MF21	GC1			63953
GC46GC2_806rcbc445	EC	nla	MF21	GC2			41346
GC90GC2_806rcbc299	EC	SPX1/SPX2	MF21	GC2			178887
GC38GC2_806rcbc442	EC	phf1	MF21	GC2			87423
GC61GC2_806rcbc330							
GC66GC2_806rcbc328							
GC96GC2_806rcbc407	Soil	Soil	MF21	GC2			176462
GC77GC1_806rcbc337							
GC16GC2_806rcbc428	EC	pht1:1	MF21	GC2			94919
GC39GC1_806rcbc334	EC	phf1	MF21	GC1			8415
GC71GC1_806rcbc336							
GC27GC2_806rcbc435	EC	pht1:1/pht1:4	MF21	GC2			58806
syncomP55_160125	Agar	Agar		B			81837
syncomP55_160126	Agar	Agar		B			81837
GC78GC2_806rcbc187	EC	phr1	MF21	GC2			28990
GC20GC1_806rcbc323	EC	pht1:1	MF21	GC1	20.0		31770
GC52GC1_806rcbc395							
syncomP95_160125				Blank			33962
syncomP95_160126				Blank			33962
GC90GC2_806rcbc395	EC	SPX1/SPX2	MF21	GC2			178887
GC45GC2_806rcbc350	EC	nla	MF21	GC2			71483
GC56GC1_806rcbc453	EC	pho2	MF21	GC1			40635
syncomP79_160125	Agar	Agar		A			76546
syncomP79_160126	Agar	Agar		A			76546
GC67GC2_806rcbc294							
syncomP47_160126	Agar	Agar		B			889
syncomP47_160125	Agar	Agar		B			889
GC14GC1_806rcbc310	EC	pht1:1	MF21	GC1	14.0		15851
GC25GC2_806rcbc133	EC	pht1:1/pht1:4	MF21	GC2			101617
GC76GC2_806rcbc377	EC	phr1	MF21	GC2			85698
syncomP87_160126	Inoculum	Inoculum		A			136747
syncomP87_160125	Inoculum	Inoculum		A			136747
GC81GC1_806rcbc96							
syncomP28_160125	Root	phr1/phl1		B			55950
GC89GC1_806rcbc361	EC	phr1	MF21	GC1			17315
syncomP28_160126	Root	phr1/phl1		B			55950
syncomP16_160126	Root	phr1/phl1		A			13615
syncomP16_160125	Root	phr1/phl1		A			13615
GC81GC2_806rcbc304	EC	SPX1/SPX2	MF21	GC2			110815
GC51GC1_806rcbc177	EC	pho2	MF21	GC1			173254
GC87GC1_806rcbc343	EC	phr1	MF21	GC1			63863
GC18GC2_806rcbc351	EC	pht1:1	MF21	GC2			81106
GC33GC1_806rcbc156							
GC88GC2_806rcbc331	EC	SPX1/SPX2	MF21	GC2			74845
GC19GC2_806rcbc348	EC	pht1:1	MF21	GC2			55469
GC49GC2_806rcbc293	EC	nla	MF21	GC2			112797
GC33GC2_806rcbc367	EC	phf1	MF21	GC2			89760
GC11GC1_806rcbc322	EC	pht1:1	MF21	GC1	11.0		92153
GC17GC1_806rcbc158	EC	pht1:1	MF21	GC1	17.0		6527
GC22GC2_806rcbc414	EC	pht1:1/pht1:4	MF21	GC2			108820
GC21GC2_806rcbc117	EC	pht1:1/pht1:4	MF21	GC2			80795
GC28GC2_806rcbc355	EC	pht1:1/pht1:4	MF21	GC2			53875
GC37GC2_806rcbc404	EC	phf1	MF21	GC2			63723
GC54GC1_806rcbc353	EC	pho2	MF21	GC1			35133
GC25GC2_806rcbc325	EC	pht1:1/pht1:4	MF21	GC2			101617
GC62GC1_806rcbc355							
GC40GC2_806rcbc310	EC	phf1	MF21	GC2			33993
